period,county,type,pregnancy
2016 Q1,Baringo County,Teen pregnancy (10 to 19 years),121
2016 Q1,Bomet County,Teen pregnancy (10 to 19 years),302
2016 Q1,Bungoma County,Teen pregnancy (10 to 19 years),0
2016 Q1,Busia County,Teen pregnancy (10 to 19 years),862
2016 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),12
2016 Q1,Embu County,Teen pregnancy (10 to 19 years),0
2016 Q1,Garissa County,Teen pregnancy (10 to 19 years),29
2016 Q1,Homa Bay County,Teen pregnancy (10 to 19 years),75
2016 Q1,Isiolo County,Teen pregnancy (10 to 19 years),64
2016 Q1,Kajiado County,Teen pregnancy (10 to 19 years),453
2016 Q1,Kakamega County,Teen pregnancy (10 to 19 years),91
2016 Q1,Kericho County,Teen pregnancy (10 to 19 years),255
2016 Q1,Kiambu County,Teen pregnancy (10 to 19 years),212
2016 Q1,Kilifi County,Teen pregnancy (10 to 19 years),176
2016 Q1,Kirinyaga County,Teen pregnancy (10 to 19 years),32
2016 Q1,Kisii County,Teen pregnancy (10 to 19 years),713
2016 Q1,Kisumu County,Teen pregnancy (10 to 19 years),376
2016 Q1,Kitui County,Teen pregnancy (10 to 19 years),152
2016 Q1,Kwale County,Teen pregnancy (10 to 19 years),61
2016 Q1,Laikipia County,Teen pregnancy (10 to 19 years),20
2016 Q1,Lamu County,Teen pregnancy (10 to 19 years),43
2016 Q1,Machakos County,Teen pregnancy (10 to 19 years),196
2016 Q1,Makueni County,Teen pregnancy (10 to 19 years),142
2016 Q1,Mandera County,Teen pregnancy (10 to 19 years),5
2016 Q1,Marsabit County,Teen pregnancy (10 to 19 years),167
2016 Q1,Meru County,Teen pregnancy (10 to 19 years),416
2016 Q1,Migori County,Teen pregnancy (10 to 19 years),1830
2016 Q1,Mombasa County,Teen pregnancy (10 to 19 years),251
2016 Q1,Muranga County,Teen pregnancy (10 to 19 years),10
2016 Q1,Nairobi County,Teen pregnancy (10 to 19 years),1406
2016 Q1,Nakuru County,Teen pregnancy (10 to 19 years),34
2016 Q1,Nandi County,Teen pregnancy (10 to 19 years),104
2016 Q1,Narok County,Teen pregnancy (10 to 19 years),417
2016 Q1,Nyamira County,Teen pregnancy (10 to 19 years),277
2016 Q1,Nyandarua County,Teen pregnancy (10 to 19 years),0
2016 Q1,Nyeri County,Teen pregnancy (10 to 19 years),38
2016 Q1,Samburu County,Teen pregnancy (10 to 19 years),144
2016 Q1,Siaya County,Teen pregnancy (10 to 19 years),0
2016 Q1,Taita Taveta County,Teen pregnancy (10 to 19 years),0
2016 Q1,Tana River County,Teen pregnancy (10 to 19 years),218
2016 Q1,Tharaka Nithi County,Teen pregnancy (10 to 19 years),25
2016 Q1,Trans Nzoia County,Teen pregnancy (10 to 19 years),100
2016 Q1,Turkana County,Teen pregnancy (10 to 19 years),43
2016 Q1,Uasin Gishu County,Teen pregnancy (10 to 19 years),237
2016 Q1,Vihiga County,Teen pregnancy (10 to 19 years),7
2016 Q1,Wajir County,Teen pregnancy (10 to 19 years),236
2016 Q1,West Pokot County,Teen pregnancy (10 to 19 years),274
2016 Q2,Baringo County,Teen pregnancy (10 to 19 years),1270
2016 Q2,Bomet County,Teen pregnancy (10 to 19 years),1909
2016 Q2,Bungoma County,Teen pregnancy (10 to 19 years),813
2016 Q2,Busia County,Teen pregnancy (10 to 19 years),3204
2016 Q2,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),707
2016 Q2,Embu County,Teen pregnancy (10 to 19 years),340
2016 Q2,Garissa County,Teen pregnancy (10 to 19 years),631
2016 Q2,Homa Bay County,Teen pregnancy (10 to 19 years),3319
2016 Q2,Isiolo County,Teen pregnancy (10 to 19 years),261
2016 Q2,Kajiado County,Teen pregnancy (10 to 19 years),2124
2016 Q2,Kakamega County,Teen pregnancy (10 to 19 years),890
2016 Q2,Kericho County,Teen pregnancy (10 to 19 years),1473
2016 Q2,Kiambu County,Teen pregnancy (10 to 19 years),2705
2016 Q2,Kilifi County,Teen pregnancy (10 to 19 years),3376
2016 Q2,Kirinyaga County,Teen pregnancy (10 to 19 years),371
2016 Q2,Kisii County,Teen pregnancy (10 to 19 years),3493
2016 Q2,Kisumu County,Teen pregnancy (10 to 19 years),4023
