period,county,subcounty,type,pregnancy
2016Q1,Baringo County,Baringo Central,Teen pregnancy (10 to 19 years),0
2016Q1,Baringo County,Baringo North,Teen pregnancy (10 to 19 years),2
2016Q1,Baringo County,Baringo South,Teen pregnancy (10 to 19 years),64
2016Q1,Baringo County,Eldama Ravine,Teen pregnancy (10 to 19 years),0
2016Q1,Baringo County,Mogotio,Teen pregnancy (10 to 19 years),0
2016Q1,Baringo County,Tiaty,Teen pregnancy (10 to 19 years),55
2016Q1,Bomet County,Bomet Central,Teen pregnancy (10 to 19 years),56
2016Q1,Bomet County,Bomet East,Teen pregnancy (10 to 19 years),73
2016Q1,Bomet County,Chepalungu,Teen pregnancy (10 to 19 years),152
2016Q1,Bomet County,Konoin,Teen pregnancy (10 to 19 years),0
2016Q1,Bomet County,Sotik,Teen pregnancy (10 to 19 years),21
2016Q1,Bungoma County,Bumula,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Cheptais,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Kabuchai,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Kanduyi,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Kimilili,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Mt Elgon,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Sirisia,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Tongaren,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Webuye East,Teen pregnancy (10 to 19 years),0
2016Q1,Bungoma County,Webuye West,Teen pregnancy (10 to 19 years),0
2016Q1,Busia County,Bunyala,Teen pregnancy (10 to 19 years),139
2016Q1,Busia County,Butula,Teen pregnancy (10 to 19 years),83
2016Q1,Busia County,Matayos,Teen pregnancy (10 to 19 years),197
2016Q1,Busia County,Nambale,Teen pregnancy (10 to 19 years),148
2016Q1,Busia County,Samia,Teen pregnancy (10 to 19 years),11
2016Q1,Busia County,Teso North,Teen pregnancy (10 to 19 years),82
2016Q1,Busia County,Teso South,Teen pregnancy (10 to 19 years),202
2016Q1,Elgeyo Marakwet County,Keiyo North,Teen pregnancy (10 to 19 years),0
2016Q1,Elgeyo Marakwet County,Keiyo South,Teen pregnancy (10 to 19 years),0
2016Q1,Elgeyo Marakwet County,Marakwet East,Teen pregnancy (10 to 19 years),12
2016Q1,Elgeyo Marakwet County,Marakwet West,Teen pregnancy (10 to 19 years),0
2016Q1,Embu County,Manyatta,Teen pregnancy (10 to 19 years),0
2016Q1,Embu County,Mbeere North,Teen pregnancy (10 to 19 years),0
2016Q1,Embu County,Mbeere South,Teen pregnancy (10 to 19 years),0
2016Q1,Embu County,Runyenjes,Teen pregnancy (10 to 19 years),0
2016Q1,Garissa County,Balambala,Teen pregnancy (10 to 19 years),18
2016Q1,Garissa County,Dadaab,Teen pregnancy (10 to 19 years),7
2016Q1,Garissa County,Fafi,Teen pregnancy (10 to 19 years),0
2016Q1,Garissa County,Garissa,Teen pregnancy (10 to 19 years),0
2016Q1,Garissa County,Hulugho,Teen pregnancy (10 to 19 years),0
2016Q1,Garissa County,Ijara,Teen pregnancy (10 to 19 years),4
2016Q1,Garissa County,Lagdera,Teen pregnancy (10 to 19 years),0
2016Q1,Homa Bay County,Homa Bay Town,Teen pregnancy (10 to 19 years),0
2016Q1,Homa Bay County,Kabondo Kasipul,Teen pregnancy (10 to 19 years),0
2016Q1,Homa Bay County,Karachuonyo,Teen pregnancy (10 to 19 years),7
2016Q1,Homa Bay County,Mbita,Teen pregnancy (10 to 19 years),0
2016Q1,Homa Bay County,Ndhiwa,Teen pregnancy (10 to 19 years),0
2016Q1,Homa Bay County,Rachuonyo South,Teen pregnancy (10 to 19 years),0
2016Q1,Homa Bay County,Rangwe,Teen pregnancy (10 to 19 years),0
2016Q1,Homa Bay County,Suba South,Teen pregnancy (10 to 19 years),68
2016Q1,Isiolo County,Garbatulla,Teen pregnancy (10 to 19 years),4
2016Q1,Isiolo County,Isiolo,Teen pregnancy (10 to 19 years),56
2016Q1,Isiolo County,Merti,Teen pregnancy (10 to 19 years),4
2016Q1,Kajiado County,Kajiado Central,Teen pregnancy (10 to 19 years),73
2016Q1,Kajiado County,Kajiado East,Teen pregnancy (10 to 19 years),114
2016Q1,Kajiado County,Kajiado North,Teen pregnancy (10 to 19 years),77
2016Q1,Kajiado County,Kajiado West,Teen pregnancy (10 to 19 years),72
2016Q1,Kajiado County,Loitokitok,Teen pregnancy (10 to 19 years),117
2016Q1,Kakamega County,Butere,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Ikolomani,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Khwisero,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Likuyani,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Lugari,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Lurambi,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Malava,Teen pregnancy (10 to 19 years),91
2016Q1,Kakamega County,Matungu,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Mumias East,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Mumias West,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Navakholo,Teen pregnancy (10 to 19 years),0
2016Q1,Kakamega County,Shinyalu,Teen pregnancy (10 to 19 years),0
2016Q1,Kericho County,Ainamoi,Teen pregnancy (10 to 19 years),37
2016Q1,Kericho County,Belgut,Teen pregnancy (10 to 19 years),69
2016Q1,Kericho County,Bureti,Teen pregnancy (10 to 19 years),12
2016Q1,Kericho County,Kipkelion East,Teen pregnancy (10 to 19 years),5
2016Q1,Kericho County,Kipkelion West,Teen pregnancy (10 to 19 years),98
2016Q1,Kericho County,Sigowet/Soin,Teen pregnancy (10 to 19 years),34
2016Q1,Kiambu County,Gatundu North,Teen pregnancy (10 to 19 years),1
2016Q1,Kiambu County,Gatundu South,Teen pregnancy (10 to 19 years),27
2016Q1,Kiambu County,Githunguri,Teen pregnancy (10 to 19 years),0
2016Q1,Kiambu County,Juja,Teen pregnancy (10 to 19 years),0
2016Q1,Kiambu County,Kabete,Teen pregnancy (10 to 19 years),26
