period,name,county,subcounty,ward,Teen pregnancy (10 to 19 years),Teen pregnancy (10 to 14 years),Teen pregnancy (15 to 19 years)
2020Q1,Jan to Mar 2020,Garissa County,Dadaab Sub County,Abakaile Ward,4,0,4
2020Q1,Jan to Mar 2020,Meru County,Imenti South Sub County,Abogeta East Ward,161,1,160
2020Q1,Jan to Mar 2020,Meru County,Imenti South Sub County,Abogeta West Ward,20,3,17
2020Q1,Jan to Mar 2020,Meru County,Imenti Central Sub County,Abothuguchi Central Ward,29,1,28
2020Q1,Jan to Mar 2020,Meru County,Imenti Central Sub County,Abothuguchi West Ward,34,1,33
2020Q1,Jan to Mar 2020,Wajir County,Wajir West Sub County,Ademasajide Ward,12,0,12
2020Q1,Jan to Mar 2020,Kilifi County,Magarini Sub County,Adu Ward,136,8,128
2020Q1,Jan to Mar 2020,Busia County,Samia Sub County,Ageng'a Nanguba Ward,78,3,75
2020Q1,Jan to Mar 2020,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,11,0,11
2020Q1,Jan to Mar 2020,Kisumu County,Nyando Sub County,Ahero Ward,59,3,56
2020Q1,Jan to Mar 2020,Uasin Gishu County,Ainabkoi Sub County,Ainabkoi/Olare Ward,73,0,73
2020Q1,Jan to Mar 2020,Kericho County,Ainamoi Sub County,Ainamoi Ward,105,11,94
2020Q1,Jan to Mar 2020,Nairobi County,Kamukunji Sub County,Airbase Ward,190,53,137
2020Q1,Jan to Mar 2020,Mombasa County,Changamwe Sub County,Airport Ward,59,0,59
2020Q1,Jan to Mar 2020,Meru County,Igembe South Sub County,Akachiu Ward,109,1,108
2020Q1,Jan to Mar 2020,Meru County,Igembe Central Sub County,Akirang'ondu Ward,113,0,113
2020Q1,Jan to Mar 2020,Meru County,Tigania West Sub County,Akithii Ward,22,3,19
2020Q1,Jan to Mar 2020,West Pokot County,Pokot North Sub County,Alale Ward,71,1,70
2020Q1,Jan to Mar 2020,Mandera County,Lafey Sub County,Alungo Gof Ward,0,0,0
2020Q1,Jan to Mar 2020,Nakuru County,Kuresoi South Sub County,Amalo Ward,60,1,59
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Amukura Central Ward,18,0,18
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Amukura East Ward,41,0,41
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Amukura West Ward,37,0,37
2020Q1,Jan to Mar 2020,Meru County,Igembe North Sub County,Amwathi Ward,279,3,276
2020Q1,Jan to Mar 2020,Busia County,Teso South Sub County,Ang'orom Ward,58,0,58
2020Q1,Jan to Mar 2020,Busia County,Teso North Sub County,Ang'urai East Ward,63,2,61
2020Q1,Jan to Mar 2020,Busia County,Teso North Sub County,Ang'urai North Ward,41,0,41
2020Q1,Jan to Mar 2020,Busia County,Teso North Sub County,Ang'urai South Ward,26,0,26
2020Q1,Jan to Mar 2020,Narok County,Transmara West Sub County,Angata Barikoi Ward,45,5,40
2020Q1,Jan to Mar 2020,Samburu County,Samburu Central Sub County,Angata Nayokie Ward,38,0,38
2020Q1,Jan to Mar 2020,Meru County,Igembe North Sub County,Antuambui Ward,2,0,2
2020Q1,Jan to Mar 2020,Meru County,Igembe North Sub County,Antubetwe Kiongo Ward,22,0,22
2020Q1,Jan to Mar 2020,Mandera County,Mandera East Sub County,Arabia Ward,30,1,29
